"sim_trans"	"est_trans"
4	4
5	5
8	8
16	16
25	24
1	1
1	1
8	8
20	19
28	26
4	4
3	3
8	8
15	12
17	18
2	2
3	3
13	12
21	18
25	24
2	2
4	4
13	12
19	17
27	25
2	2
8	8
8	9
17	14
13	12
1	1
5	5
15	13
21	20
20	17
2	2
2	2
9	9
13	12
31	22
4	3
4	3
12	13
13	13
23	20
2	2
9	10
9	9
20	18
24	18
3	3
3	3
12	11
16	16
22	20
2	2
1	1
8	8
12	12
19	18
3	3
4	4
13	13
12	12
24	20
2	2
3	3
13	11
23	20
30	23
2	2
3	3
5	5
13	13
23	23
3	3
4	4
7	7
21	19
24	25
4	4
5	5
12	10
20	12
29	22
2	2
4	4
6	6
18	16
24	20
5	5
1	1
12	12
19	15
18	16
3	3
3	3
9	8
21	16
26	21
5	5
5	5
15	14
18	15
22	17
1	1
10	10
8	8
20	18
20	21
4	4
7	7
6	6
22	24
32	32
6	6
5	5
7	6
23	21
23	20
1	1
5	5
11	11
13	13
22	21
