slen ntax exp_t set_name sim_t min_t max_t mean_post
10 50 10 set4_2  8 13 20 0.13
10 50 10 set4_3 10 28 47 0.20
10 50 10 set4_4  7 21 35 0.14
10 50 10 set4_5  5 12 17 0.12
10 50 10 set4_6  7 23 45 0.12
10 50 10 set4_7  6 13 19 0.21
10 50 10 set4_8  6 13 45 0.15
10 50 10 set4_9  6 13 18 0.19
10 50 30 set4_1 17 24 52 0.14
10 50 30 set4_10 16 28 43 0.21
10 50 30 set4_2 13 23 44 0.13
10 50 30 set4_3 17 26 41 0.20
10 50 30 set4_4 17 21 45 0.14
10 50 30 set4_5 12 23 47 0.12
10 50 30 set4_6 12 22 30 0.12
10 50 30 set4_7 16 26 49 0.21
10 50 30 set4_8 14 23 44 0.15
10 50 30 set4_9 11 24 43 0.19
10 100  3 set5_1  3  8  17 0.11
10 100  3 set5_10  2  2   2 0.14
10 100  3 set5_2  3 25  29 0.12
10 100  3 set5_3  3  5   5 0.09
10 100  3 set5_4  6 17  22 0.14
10 100  3 set5_5  9 46  88 0.13
10 100  3 set5_6  6 11  21 0.09
10 100  3 set5_7  3 38  50 0.12
10 100  3 set5_8  4 14  15 0.15
10 100  3 set5_9  5 11  19 0.14
10 100 10 set5_1  9 19  27 0.11
10 100 10 set5_10  5  5   9 0.14
10 100 10 set5_2 12 23  32 0.12
10 100 10 set5_3 17 41  88 0.09
10 100 10 set5_4  5  5   6 0.14
10 100 10 set5_5 15 25  32 0.13
10 100 10 set5_6 10 12  18 0.09
10 100 10 set5_7  6  8  14 0.12
10 100 10 set5_8 12 23  27 0.15
10 100 10 set5_9  6 19  24 0.14
10 100 30 set5_1 24 48  66 0.11
10 100 30 set5_10 25 52  96 0.14
10 100 30 set5_2 24 67  98 0.12
10 100 30 set5_3 20 58 101 0.09
10 100 30 set5_4 18 43  85 0.14
10 100 30 set5_5 16 36  65 0.13
10 100 30 set5_6 18 25  36 0.09
10 100 30 set5_7 19 32  81 0.12
10 100 30 set5_8 16 43  89 0.15
10 100 30 set5_9 19 38  84 0.14
10 500  3 set6_1  4   9  13 0.06
10 500  3 set6_10  2   4   4 0.06
10 500  3 set6_2  2   4   4 0.06
10 500  3 set6_3  6   7  10 0.07
10 500  3 set6_4  5  10  10 0.06
10 500  3 set6_5  4   7  11 0.05
10 500  3 set6_6  2   2   2 0.06
10 500  3 set6_7  4   5   9 0.07
10 500  3 set6_8  2   2   2 0.06
10 500  3 set6_9  2   6   6 0.07
10 500 10 set6_1  6  15  21 0.06
10 500 10 set6_10  8  10  10 0.06
10 500 10 set6_2 13  37  48 0.06
10 500 10 set6_3  8  29  30 0.07
10 500 10 set6_4  5   6   6 0.06
10 500 10 set6_5  7  12  12 0.05
10 500 10 set6_6  8  35  42 0.06
10 500 10 set6_7 11  18  18 0.07
10 500 10 set6_8 13  29  33 0.06
10 500 10 set6_9 15  31  41 0.07
10 500 30 set6_1 29  67  82 0.06
10 500 30 set6_10 35  78  91 0.06
10 500 30 set6_2 24  46  54 0.06
10 500 30 set6_3 36 101 114 0.07
10 500 30 set6_4 25  44  58 0.06
10 500 30 set6_5 33  96 112 0.05
10 500 30 set6_6 25  63  76 0.06
10 500 30 set6_7 32  67  81 0.07
10 500 30 set6_8 32  59  73 0.06
10 500 30 set6_9 23  53  65 0.07
20 50  3 set7_1  2  2  2 0.27
20 50  3 set7_10  4  4  4 0.34
20 50  3 set7_2  2 10 11 0.36
20 50  3 set7_3  3  3  7 0.33
20 50  3 set7_4  4 28 36 0.21
20 50  3 set7_5  3  3  3 0.27
20 50  3 set7_6  5  7 14 0.27
20 50  3 set7_7  2  5  5 0.31
20 50  3 set7_8  3  3  3 0.31
20 50  3 set7_9  1  1  1 0.26
20 50 10 set7_1  5  5  8 0.27
20 50 10 set7_10  8  9 16 0.34
20 50 10 set7_2  7 11 15 0.36
20 50 10 set7_3  4 22 24 0.33
20 50 10 set7_4  7 17 43 0.21
20 50 10 set7_5  4 10 16 0.27
20 50 10 set7_6  8 18 26 0.27
20 50 10 set7_7  8 12 20 0.31
20 50 10 set7_8  9 29 35 0.31
20 50 10 set7_9  8 14 15 0.26
20 50 30 set7_1 12 24 36 0.27
20 50 30 set7_10 14 23 44 0.34
20 50 30 set7_2 23 26 44 0.36
20 50 30 set7_3 20 27 55 0.33
20 50 30 set7_4 12 20 27 0.21
20 50 30 set7_5 13 30 47 0.27
20 50 30 set7_6 22 26 49 0.27
20 50 30 set7_7 20 32 52 0.31
20 50 30 set7_8 16 19 40 0.31
20 50 30 set7_9 14 26 46 0.26
20 100  3 set8_1  2  3  6 0.21
20 100  3 set8_10  3  3  6 0.20
20 100  3 set8_2  2  6  7 0.29
20 100  3 set8_3  5 14 20 0.18
20 100  3 set8_4  3  4  8 0.16
20 100  3 set8_5  4  4  4 0.24
20 100  3 set8_6  5  6 12 0.20
20 100  3 set8_7  2  5 11 0.18
20 100  3 set8_8  2  2  2 0.25
20 100  3 set8_9  3  3  3 0.22
20 100 10 set8_1 13 25 32 0.21
20 100 10 set8_10  7 17 18 0.20
20 100 10 set8_2  6 20 23 0.29
20 100 10 set8_3 13 24 31 0.18
20 100 10 set8_4 10 12 16 0.16
20 100 10 set8_5  6 11 16 0.24
20 100 10 set8_6  8 21 25 0.20
20 100 10 set8_7  7  7  7 0.18
20 100 10 set8_8  4 10 11 0.25
20 100 10 set8_9  5 23 23 0.22
20 100 30 set8_1 24 55 88 0.21
20 100 30 set8_10 17 44 51 0.20
20 100 30 set8_2 12 24 31 0.29
20 100 30 set8_3 14 34 42 0.18
20 100 30 set8_4 19 43 73 0.16
20 100 30 set8_5 23 41 81 0.24
20 100 30 set8_6 18 50 62 0.20
20 100 30 set8_7 22 51 91 0.18
20 100 30 set8_8 22 44 57 0.25
20 100 30 set8_9 18 35 47 0.22
20 500  3 set9_1  1   5   5 0.12
20 500  3 set9_10  4  12  12 0.11
20 500  3 set9_2  2   2   2 0.13
20 500  3 set9_3  3   9  10 0.11
20 500  3 set9_4  3   3   3 0.11
20 500  3 set9_5  3   5   9 0.11
20 500  3 set9_6  1   1   1 0.10
20 500  3 set9_7  3   4   4 0.11
20 500  3 set9_8  4   6   9 0.13
20 500  3 set9_9  2   2   2 0.13
20 500 10 set9_1  8  24  25 0.12
20 500 10 set9_10 10  23  30 0.11
20 500 10 set9_2  9  26  33 0.13
20 500 10 set9_3 12 168 177 0.11
20 500 10 set9_4  9  30  38 0.11
20 500 10 set9_5  9  22  24 0.11
20 500 10 set9_6  6  11  15 0.10
20 500 10 set9_7  7  31  39 0.11
20 500 10 set9_8 13  29  37 0.13
20 500 10 set9_9  7  10  14 0.13
20 500 30 set9_1 30  74  87 0.12
20 500 30 set9_10 23  59  68 0.11
20 500 30 set9_2 30  66  76 0.13
20 500 30 set9_3 34 111 139 0.11
20 500 30 set9_4 30  62  71 0.11
20 500 30 set9_5 28 120 152 0.11
20 500 30 set9_6 29  43  47 0.10
20 500 30 set9_7 22  94 111 0.11
20 500 30 set9_8 21  42  52 0.13
20 500 30 set9_9 28  76  90 0.13
50 50  3 set10_1  2  9 13 0.50
50 50  3 set10_10  1 12 13 0.54
50 50  3 set10_2  2  6  6 0.48
50 50  3 set10_3  3  3  3 0.38
50 50  3 set10_4  1  1  1 0.64
50 50  3 set10_5  2  9 12 0.49
50 50  3 set10_6  3  8 10 0.44
50 50  3 set10_7  3 20 28 0.46
50 50  3 set10_8  1  5  6 0.46
50 50  3 set10_9  1  5  5 0.47
50 50 10 set10_1  8 15 17 0.50
50 50 10 set10_10 10 22 26 0.54
50 50 10 set10_2  6 15 22 0.48
50 50 10 set10_3 10 20 41 0.38
50 50 10 set10_4  4  4  4 0.64
50 50 10 set10_5 11 20 27 0.49
50 50 10 set10_6  9 14 22 0.44
50 50 10 set10_7 11 17 26 0.46
50 50 10 set10_8  9 17 19 0.46
50 50 10 set10_9 13 29 33 0.47
50 50 30 set10_1 12 34 40 0.50
50 50 30 set10_10 10 26 35 0.54
50 50 30 set10_2 14 23 33 0.48
50 50 30 set10_3 15 20 27 0.38
50 50 30 set10_4 12 32 37 0.64
50 50 30 set10_5 17 15 46 0.49
50 50 30 set10_6 23 27 43 0.44
50 50 30 set10_7 19 31 40 0.46
50 50 30 set10_8 15 30 38 0.46
50 50 30 set10_9 15 31 39 0.47
50 100  3 set11_1  1  2  5 0.40
50 100  3 set11_10  1  1  1 0.50
50 100  3 set11_2  4  4  4 0.44
50 100  3 set11_3  3  4  7 0.53
50 100  3 set11_4  3  4  4 0.48
50 100  3 set11_5  2  5  9 0.34
50 100  3 set11_6  3  7  7 0.50
50 100  3 set11_7  2  2  2 0.47
50 100  3 set11_8  2  7  9 0.41
50 100  3 set11_9  2  2  2 0.48
50 100 10 set11_1  8 13 18 0.40
50 100 10 set11_10 11 26 30 0.50
50 100 10 set11_2  8 40 45 0.44
50 100 10 set11_3 16 37 44 0.53
50 100 10 set11_4  9 24 30 0.48
50 100 10 set11_5  6 47 54 0.34
50 100 10 set11_6 10 16 19 0.50
50 100 10 set11_7  8 28 33 0.47
50 100 10 set11_8  7  8 14 0.41
50 100 10 set11_9 11 24 25 0.48
50 100 30 set11_1 19 52 55 0.40
50 100 30 set11_10 15 38 41 0.50
50 100 30 set11_2 20 48 57 0.44
50 100 30 set11_3 22 48 56 0.53
50 100 30 set11_4 22 56 61 0.48
50 100 30 set11_5 28 61 68 0.34
50 100 30 set11_6 31 50 64 0.50
50 100 30 set11_7 26 54 65 0.47
50 100 30 set11_8 25 62 68 0.41
50 100 30 set11_9 19 41 46 0.48
50 500  3 set12_1  2   2   2 0.23
50 500  3 set12_10  3  16  16 0.21
50 500  3 set12_2  1   1   1 0.22
50 500  3 set12_3  1   1   1 0.21
50 500  3 set12_4  4   5   8 0.19
50 500  3 set12_5  1   9  12 0.21
50 500  3 set12_6  1   1   1 0.22
50 500  3 set12_7  3   3   3 0.21
50 500  3 set12_8  2   7   7 0.21
50 500  3 set12_9  3  32  33 0.22
50 500 10 set12_1  7  24  27 0.23
50 500 10 set12_10  8  14  15 0.21
50 500 10 set12_2  6  77  86 0.22
50 500 10 set12_3 11  19  21 0.21
50 500 10 set12_4  6  27  31 0.19
50 500 10 set12_5  8  39  43 0.21
50 500 10 set12_6 11  44  48 0.22
50 500 10 set12_7 13  29  32 0.21
50 500 10 set12_8  8  25  29 0.21
50 500 10 set12_9 10  20  26 0.22
50 500 30 set12_1 33  80  88 0.23
50 500 30 set12_10 22  35  43 0.21
50 500 30 set12_2 29  71  79 0.22
50 500 30 set12_3 22  65  74 0.21
50 500 30 set12_4 18  37  41 0.19
50 500 30 set12_5 18  68  71 0.21
50 500 30 set12_6 31  79  85 0.22
50 500 30 set12_7 30 171 181 0.21
50 500 30 set12_8 33 234 249 0.21
50 500 30 set12_9 24  88  94 0.22
100 50  3 set13_1  2  2  2 0.68
100 50  3 set13_10  2  6  6 0.63
100 50  3 set13_2  4 33 36 0.64
100 50  3 set13_3  1  1  1 0.70
100 50  3 set13_4  2  2  2 0.63
100 50  3 set13_5  5 13 13 0.73
100 50  3 set13_6  4  4  4 0.56
100 50  3 set13_7  2  2  2 0.55
100 50  3 set13_8  2 14 14 0.74
100 50  3 set13_9  2  6  6 0.79
100 50 10 set13_1  8 18 19 0.68
100 50 10 set13_10 11 12 14 0.63
100 50 10 set13_2 11 20 22 0.64
100 50 10 set13_3  8 26 30 0.70
100 50 10 set13_4 11 25 28 0.63
100 50 10 set13_5  6  6  6 0.73
100 50 10 set13_6 10 11 18 0.56
100 50 10 set13_7  8 19 23 0.55
100 50 10 set13_8  6 16 16 0.74
100 50 10 set13_9  9 27 32 0.79
100 50 30 set13_1 13 36 40 0.68
100 50 30 set13_10 18 29 35 0.63
100 50 30 set13_2 18 30 35 0.64
100 50 30 set13_3 16 25 31 0.70
100 50 30 set13_4 11 23 24 0.63
100 50 30 set13_5 15 31 35 0.73
100 50 30 set13_6 14 20 25 0.56
100 50 30 set13_7 14 23 26 0.55
100 50 30 set13_8 14 30 34 0.74
100 50 30 set13_9 11 24 25 0.79
100 100  3 set14_1  2 30 30 0.61
100 100  3 set14_10  5  9 14 0.58
100 100  3 set14_2  2  8  8 0.60
100 100  3 set14_3  2  2  2 0.70
100 100  3 set14_4  2  2  2 0.60
100 100  3 set14_5  2  2  2 0.53
100 100  3 set14_6  4  8 13 0.58
100 100  3 set14_7  3  3  3 0.56
100 100  3 set14_8  4 12 12 0.53
100 100  3 set14_9  7 13 13 0.49
100 100 10 set14_1 14 35 36 0.61
100 100 10 set14_10  4 26 27 0.58
100 100 10 set14_2  7 23 26 0.60
100 100 10 set14_3  6 19 24 0.70
100 100 10 set14_4 10 27 30 0.60
100 100 10 set14_5 10 24 28 0.53
100 100 10 set14_6  5 13 13 0.58
100 100 10 set14_7  5  9  9 0.56
100 100 10 set14_8  6 19 19 0.53
100 100 10 set14_9  5 13 16 0.49
100 100 30 set14_1 15 37 40 0.61
100 100 30 set14_10 24 53 60 0.58
100 100 30 set14_2 26 52 57 0.60
100 100 30 set14_3 23 56 60 0.70
100 100 30 set14_4 24 46 51 0.60
100 100 30 set14_5 21 33 37 0.53
100 100 30 set14_6 21 47 52 0.58
100 100 30 set14_7 23 31 38 0.56
100 100 30 set14_8 19 63 65 0.53
100 100 30 set14_9 27 45 51 0.49
100 500  3 set15_1  7  29  29 0.30
