slen ntax exp_t set_name sim_t min_t max_t
20 50  3 set7_6  6 11 37
20 50  3 set7_7  1  1  4
20 50  3 set7_8  4 16 22
20 50  3 set7_9  3 11 13
20 50 10 set7_1 10 12 19
20 50 10 set7_10  9 14 32
20 50 10 set7_2  5 22 30
20 50 10 set7_3  6  9 11
20 50 10 set7_4 10  7 15
20 50 10 set7_5  2 11 12
20 50 10 set7_6  7  9 11
20 50 10 set7_7  7  1  9
20 50 10 set7_8  8 10 18
20 50 10 set7_9  5  0  3
20 50 30 set7_1  9  3 11
20 50 30 set7_10 17 15 25
20 50 30 set7_2 12 19 26
20 50 30 set7_3 15 12 38
20 50 30 set7_4 16 10 30
20 50 30 set7_5 12 11 29
20 50 30 set7_6 19  8 18
20 50 30 set7_7 23 12 22
20 50 30 set7_8 15  8 31
20 50 30 set7_9 11  5 10
20 100  3 set8_1  3  3  7
20 100  3 set8_10  3  5  6
20 100  3 set8_2  4  3  7
20 100  3 set8_3  7 21 30
20 100  3 set8_4  1  4  4
20 100  3 set8_5  3  0  0
20 100  3 set8_6  1  0  0
20 100  3 set8_7  1  0  0
20 100  3 set8_8  4  2  5
20 100  3 set8_9  1  9 13
20 100 10 set8_1 11  1  6
20 100 10 set8_10  9 27 34
20 100 10 set8_2  8 37 45
20 100 10 set8_3  9 12 17
20 100 10 set8_4 18 17 27
20 100 10 set8_5  7  0  0
20 100 10 set8_6  9 23 28
20 100 10 set8_7  7 18 20
20 100 10 set8_8 14  9 15
20 100 10 set8_9  8  4  6
20 100 30 set8_1 27 40 69
20 100 30 set8_10 17 20 29
20 100 30 set8_2 23 30 40
20 100 30 set8_3 12 16 25
20 100 30 set8_4 24 30 52
20 100 30 set8_5 23 33 71
20 100 30 set8_6 23 27 37
20 100 30 set8_7 19 17 26
20 100 30 set8_8 15 14 21
20 100 30 set8_9 23 37 69
20 500  3 set9_1  4  6   6
20 500  3 set9_10  1  0   0
20 500  3 set9_2  4 32  33
20 500  3 set9_3  4 19  26
20 500  3 set9_4  1  1   1
20 500  3 set9_5  5  6   9
20 500  3 set9_6  5  4   4
20 500  3 set9_7  3  0   0
20 500  3 set9_8  5  5   5
20 500  3 set9_9  1  0   0
20 500 10 set9_1 13  6  14
20 500 10 set9_10 13 16  23
20 500 10 set9_2  9 17  19
20 500 10 set9_3 10 14  20
20 500 10 set9_4  8 18  22
20 500 10 set9_5 11 36  45
20 500 10 set9_6  8  1   1
20 500 10 set9_7 11  8  13
20 500 10 set9_8 10 15  30
20 500 10 set9_9 13 20  27
20 500 30 set9_1 25 17  25
20 500 30 set9_10 26 21  30
20 500 30 set9_2 39 79 102
20 500 30 set9_3 30 15  22
20 500 30 set9_4 27 50  63
20 500 30 set9_5 28 35  42
20 500 30 set9_6 26 44  51
20 500 30 set9_7 24 26  30
20 500 30 set9_8 27 43  50
20 500 30 set9_9 38 78  89
50 50  3 set10_1  2  4  4
50 50  3 set10_10  2  1  4
50 50  3 set10_2  2  0  0
50 50  3 set10_3  1  0  0
50 50  3 set10_4  2 12 15
50 50  3 set10_5  3  0  0
50 50  3 set10_6  2  5  7
50 50  3 set10_7  6 12 20
50 50  3 set10_8  3  0  0
50 50  3 set10_9  3 20 20
50 50 10 set10_1  9 14 20
50 50 10 set10_10 11 15 23
50 50 10 set10_2  8  8  8
50 50 10 set10_3  3  0  0
50 50 10 set10_4  6  6  7
50 50 10 set10_5  6  0  0
50 50 10 set10_6 12 19 32
50 50 10 set10_7 10 16 17
50 50 10 set10_8  9  9 11
50 50 10 set10_9  8 13 18
50 50 30 set10_1 13 12 17
50 50 30 set10_10 14  9 14
50 50 30 set10_2 15  9 30
50 50 30 set10_3 10  0  1
50 50 30 set10_4 13  7 13
50 50 30 set10_5 20  7 25
50 50 30 set10_6 13  6 20
50 50 30 set10_7 15  6 15
50 50 30 set10_8 11  8 36
50 50 30 set10_9 16 -2 26
50 100  3 set11_1  1  0  0
50 100  3 set11_10  3  0  0
50 100  3 set11_2  1  0  0
50 100  3 set11_3  2  0  0
50 100  3 set11_4  1  0  0
50 100  3 set11_5  2  0  0
